1;JANDARK 5 MG 56 FILM KAPLI TABLET;L04AA29;tofacitinib;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
5481;PHEBDOL 400 MG FILM KAPLI TABLET (24 TABLET);M03BX30;fenyramidol;DEVA HOLDING A.S.;Normal
5482;PHOCUSS 10 MG/20 MG FILM KAPLI TABLET (28 FILM KAPLI TABLET);N06DA52;donepezil and memantine;SANTA FARMA ILAÇ SAN. A.S.;Normal
5483;PHOCUSS 10/5+ 10/10+10/15+10/20 MG FILM KAPLI TEDAVIYE BASLAMA PAKETI (28 FILM KAPLI TABLET);N06DA52;donepezil and memantine;SANTA FARMA ILAÇ SAN. A.S.;Normal
5484;PHOSMYCIN 3 G GRANUL ICEREN SASE (1);J01XX01;"fosfomycin ";WORLD MEDICINE ILAÇ SAN. VE TIC. A.S.;Normal
5485;PHOS-NO 1000 MG 180 TABLET;V03AE07;calcium acetate;DINÇSA ILAÇ SAN. VE TIC. A.S.;Normal
5486;PHOS-OUT 667 MG 180 TABLET;V03AE07;calcium acetate;AYTAÇ MUHITTIN DINÇER DINÇTAS;Normal
5487;PHOSPHO-SODA ORAL LAKSATIF;A06AD17;sodium phosphate;RECORDATI ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
5488;"PHYSIONEAL 40 %1.36 CLEARFLEX PERITON DIYALIZ SOL.  5000ML ";B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5489;PHYSIONEAL 40 %1.36 GLUKOZLU PERITON DIYALIZ SOL. MINI KAPAKLI 2500ML CIFTLI TORBA;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5490;PHYSIONEAL 40 %1.36 GLUKOZLU PERITON DIYALIZ SOL.2500ML TEKLI TORBA;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5491;PHYSIONEAL 40 %1.36 GLUKOZLU PERITON DIYALIZ SOL.MINI KAPAKLI 2000ML CIFTLI TORBA;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5492;PHYSIONEAL 40 %2.27 CLEARFLEX PERITON DIYALIZ COZELTISI 5000 ML;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5493;PHYSIONEAL 40 %2.27 GLUKOZLU PERITON DIYALIZ SOL. MINI KAPAKLI 2000ML CIFTLI TORBA;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5494;PHYSIONEAL 40 %2.27 GLUKOZLU PERITON DIYALIZ SOL. MINI KAPAKLI 2500ML CIFTLI TORBA;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5495;PHYSIONEAL 40 %2.27 GLUKOZLU PERITON DIYALIZ SOL.2500ML TEKLI TORBA;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5496;PHYSIONEAL 40 %3.86 CLEARFLEX PERITON DIYALIZ COZELTISI 5000 ML;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5497;PHYSIONEAL 40 %3.86 GLUKOZLU PERITON DIYALIZ SOL. MINI KAPAKLI 2000ML CIFTLI TORBA;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5498;PHYSIONEAL 40 %3.86 GLUKOZLU PERITON DIYALIZ SOL.2500ML TEKLI TORBA;B05D;PERITONEAL DIALYTICS;BAXTER TURKEY RENAL HIZMETLER ANONIM SIRKETI;Normal
5499;PIASCLEDINE 300 MG KAPSUL (30 KAPSUL);M01AX26;avocado and soyabean oil, unsaponifiables;EXPANSCIENCE LABORATUVARLARI ILAÇ SANAYI PAZARLAMA VE DIS TICARET ANONIM SIRKETI;Normal
5500;PIASCLEDINE 300 MG KAPSÜL (60 KAPSUL);M01AX26;avocado and soyabean oil, unsaponifiables;EXPANSCIENCE LABORATUVARLARI ILAÇ SANAYI PAZARLAMA VE DIS TICARET ANONIM SIRKETI;Normal
5501;PICOPREP ORAL COZELTI ICIN TOZ 2x16,1 G SASE;A06AB58;sodium picosulfate, combinations;FERRING ILAÇ SANAYI VE TICARET LTD. STI.;Normal
5502;PILOSED % 2 5 ML GOZ DAMLASI;S01EB01;pilocarpine;BILIM ILAÇ SANAYII VE TICARET A.S.;Normal
5503;"PIMARO 30 MG FILM TABLET (28 TABLET) ";H05BX01;cinacalcet;DEVA HOLDING A.S.;Normal
5504;PIMARO 60 MG 28 FILM TABLET;H05BX01;cinacalcet;DEVA HOLDING A.S.;Normal
5505;PIMARO 90 MG 28 FILM KAPLI TABLET;H05BX01;cinacalcet;DEVA HOLDING A.S.;Normal
5506;PIMREVA 150 MG FILM KAPLI TABLET (56 TABLET);L01EM03;alpelisib;FARMANOVA SAGLIK HIZMETLERI LTD.STI;Normal
5507;PIMREVA 200 MG FILM KAPLI TABLET (28 TABLET);L01EM03;alpelisib;FARMANOVA SAGLIK HIZMETLERI LTD.STI;Normal
5508;PIMREVA 200 MG VE 50 MG FILM KAPLI TABLET (56 TABLET);L01EM03;alpelisib;FARMANOVA SAGLIK HIZMETLERI LTD.STI;Normal
5509;PINADES 50 MG FILM KAPLI TABLET (40 TABLET);A03AX04;pinaverium;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
5510;PINADES 50 MG FILM KAPLI TABLET (80 TABLET);A03AX04;pinaverium;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
5511;PINGEL 75 MG 28 FILM TABLET;B01AC04;clopidogrel;SANOFI ILAÇ SANAYI ve TIC. A.S.;Normal
5512;PINIX 40 MG / 80 MG FILM KAPLI TABLET (30 TABLET);A03AX13;silicones;SANTA FARMA ILAÇ SAN. A.S.;Normal
5513;PINRAL 100 MG 30 CIGNENEBILIR/COZUNEBILIR TABLET;N03AX09;lamotrigine;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
5514;PINRAL 200 MG 30 CIGNENEBILIR/COZUNEBILIR TABLET;N03AX09;lamotrigine;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
5515;PINRAL 25 MG 30 CIGNENEBILIR/COZUNEBILIR TABLET;N03AX09;lamotrigine;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
5516;PINRAL 50 MG 30 CIGNENEBILIR/COZUNEBILIR TABLET;N03AX09;lamotrigine;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
5517;PIOGTAN 15 MG 30 TABLET;A10BG03;pioglitazone;SANOFI ILAÇ SANAYI ve TIC. A.S.;Normal
5518;PIOGTAN 30 MG 30 TABLET;A10BG03;pioglitazone;SANOFI ILAÇ SANAYI ve TIC. A.S.;Normal
5519;PIOGTAN 45 MG 30 TABLET;A10BG03;pioglitazone;SANOFI ILAÇ SANAYI ve TIC. A.S.;Normal
5520;PIRALDYNE ORAL SOLUSYON 10 ML;A01AD11;various;DENTORAL DIS VE AGIZ SAGLIGI ILAÇ VE GEREÇLERI SAN.VE TIC.LTD.STI.;Normal
5521;PIRAMON 1 G/5 ML IV ENJEKSIYONLUK COZELTI (12 AMPUL);N06BX03;piracetam;ONFARMA ILAÇ SANAYI LTD.STI.;Normal
5522;PIRAZINID 500 MG 50 TABLET;J04AK01;pyrazinamide;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
5523;PIRFA 200 MG 252 FILM TABLET;L04AX05;pirfenidone;ALI RAIF ILAÇ SANAYI A.S.;Normal
5524;PIRFA 400 MG FILM KAPLI TABLET;L04AX05;pirfenidone;ALI RAIF ILAÇ SANAYI A.S.;Normal
5525;PIRFA 600 MG FILM KAPLI TABLET (120 TABLET);L04AX05;pirfenidone;ALI RAIF ILAÇ SANAYI A.S.;Normal
5526;PIRFECT 200 MG 252 FILM TABLET;L04AX05;pirfenidone;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
5527;PIRFECT 600 MG FILM KAPLI TABLET (120 ADET);L04AX05;pirfenidone;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
5528;PIROFEN 120/5 ML PEDIATRIK ORAL SUSPANSIYON (150 ML);N02BE01;paracetamol;DEVA HOLDING A.S.;Normal
5529;PIROFEN 250/5 ML PEDIATRIK ORAL SUSPANSIYON (150 ML);N02BE01;paracetamol;DEVA HOLDING A.S.;Normal
5530;PIROFEN 500 MG 20 TABLET;N02BE01;paracetamol;DEVA HOLDING A.S.;Normal
5531;PIROXYN % 0,5 JEL (50 GR);M02AA07;piroxicam;HAKAY ILAÇ PAZARLAMA SAN. VE TIC. LTD. STI.;Normal
5532;PIRUCIN 50 MG/25 ML IV INTRAVESIKAL ENJ. ICIN LIY.TOZ ICEREN FLAKON;L01DB03;epirubicin;SABA ILAÇ SANAYI VE TICARET A.S.;Normal
5533;PIVERTEL 50 MG FILM KAPLI TABLET (40 TABLET);A03AX04;pinaverium;DROGSAN ILAÇLARI SAN. VE TIC. A.S.;Normal
5534;PIVERTEL 50 MG FILM KAPLI TABLET (80 TABLET);A03AX04;pinaverium;DROGSAN ILAÇLARI SAN. VE TIC. A.S.;Normal
5535;PIYELOSEPTYL 100 MG 30 TABLET;J01XE01;nitrofurantoin;BIOFARMA ILAÇ SANAYI VE TICARET A.S.;Normal
5536;PIYELOSEPTYL 25 MG/5 ML ORAL SUSPANSIYON, 100 ML;J01XE01;nitrofurantoin;BIOFARMA ILAÇ SANAYI VE TICARET A.S.;Normal
5537;PIYELOSEPTYL 50 MG 30 KAPSUL;J01XE01;nitrofurantoin;BIOFARMA ILAÇ SANAYI VE TICARET A.S.;Normal
5538;PK-MERZ 100 MG 90 TABLET;N04BB01;amantadine;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
5539;PK-MERZ IV INF. COZ. 2x500 ML;N04BB01;amantadine;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
5540;PKU ANAMIX INFANT 400 G;V06CA;Nutrients without phenylalanine;NUMIL GIDA ÜRÜNLERI SANAYI VE TICARET A.S.;Normal
5541;PKU COOLER 10 KIRMIZI 3,4 KG(30X87 ML) POSET;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5542;PKU COOLER 15 KIRMIZI (30x130 ML);V06CA;nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5543;PKU COOLER PORTAKAL 4,4 KG(30X130 ML) POSET;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5544;PKU EXPRESS 750 GR LIMON (30X25 GR) SASE;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5545;PKU EXPRESS 750 GR PORTAKAL (30X25 GR) SASE;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5546;PKU EXPRESS 750 GR TROPIK (30X25 GR) SASE;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5547;PKU EXPRESS 750 GR(30X25 GR) SASE;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5548;PKU GEL 720 GR(30X24GR) SASE;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5549;PKU GEL AHUDUDU 720 GR(30X24GR) SASE;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5550;PKU GEL PORTAKAL 720 GR(30X24GR) SASE;V06CA;Nutrients without phenylalanine;NESTLE TÜRKIYE GIDA SANAYI A.S.;Normal
5551;PKU LOPHLEX LQ 10 KIRMIZI MEYVELER (60X62,5 ML);V06DX;Other combinations of nutrients;NUMIL GIDA ÜRÜNLERI SANAYI VE TICARET A.S.;Normal
5552;PKU LOPHLEX LQ 20 KIRMIZI MEYVELER (30X125 ML);V06DX;Other combinations of nutrients;NUMIL GIDA ÜRÜNLERI SANAYI VE TICARET A.S.;Normal
5553;PKU LOPHLEX LQ 20 TURUNCGILLER (30X125 ML);V06DX;Other combinations of nutrients;NUMIL GIDA ÜRÜNLERI SANAYI VE TICARET A.S.;Normal
5554;PKU LOPHLEX LQ PORTAKAL AROMALI (30X125 ML);V06DX;Other combinations of nutrients;NUMIL GIDA ÜRÜNLERI SANAYI VE TICARET A.S.;Normal
5555;PLANICID 400 MG ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN LIYOFILIZE TOZ;J01XA02;teicoplanin;CENTURION ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
5556;PLANOR 75 MG 28 FILM TABLET;B01AC04;clopidogrel;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
5557;PLANTIGMIN 0,5 MG/1 ML 1 ML 6 AMPUL;N07AA01;neostigmine;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5558;PLAPANT 40 MG IV ENJEKSIYONLUK COZELTI ICIN LIYOFILIZE TOZ ICEREN 1 FLAKON;A02BC02;pantoprazole;WORLD MEDICINE ILAÇ SAN. VE TIC. A.S.;Normal
5559;PLAQUENIL 200 MG 30 FILM KAPLI TABLET;P01BA02;hydroxychloroquine;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
5560;PLAVIDOL 75 MG 28 FILM KAPLI TABLET;B01AC04;clopidogrel;GRANDI ILAÇ SANAYI VE TICARET LTD.STI;Normal
5561;PLAVIX 75 MG 28 FILM TABLET;B01AC04;clopidogrel;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
5562;PLAVIX 75 MG 90 FILM TABLET;B01AC04;clopidogrel;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
5563;PLEGRIDY 125 MCG / 0,5 ML SC ENJEKSIYONLUK COZELTI ICEREN KULLANIMA HAZIR KALEM (2 KALEM);L03AB13;peginterferon beta-1a;GEN ILAÇ VE SAGLIK ÜRÜNLERI SAN.VE TIC. A.S.;Normal
5564;PLEGRIDY 63 MCG / 0,5 ML + 94 MCG / 0,5 ML SC ENJEKSIYONLUK COZELTI ICEREN KULLANIMA HAZIR KALEM TEDAVIYE BASLAMA PAKETI (2 KALEM);L03AB13;peginterferon beta-1a;GEN ILAÇ VE SAGLIK ÜRÜNLERI SAN.VE TIC. A.S.;Normal
5565;PLEKSOR 24 MG/12 ML S.C. ENJEKSIYONLUK COZELTI;L03AX16;plerixafor;GEN ILAÇ VE SAGLIK ÜRÜNLERI SAN.VE TIC. A.S.;Normal
5566;PLENDIL 2,5 MG UZUN ETKILI 20 FILM TABLET;C08CA02;felodipine;ASTRAZENECA ILAÇ SAN.VE TIC.LTD.STI.;Normal
5567;PLENDIL 5 MG UZUN ETKILI 20 FILM TABLET;C08CA02;felodipine;ASTRAZENECA ILAÇ SAN.VE TIC.LTD.STI.;Normal
5568;PLETAL 100 MG 60 TABLET;B01AC23;cilostazol;ABDI IBRAHIM OTSUKA ILAÇ SAN. VE TIC. A.S;Normal
5569;PLOXAL-S 100 MG/20 ML IV INF. ICIN KONSANTRE COZ. ICEREN FLAKON;L01XA03;oxaliplatin;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
5570;PLOXAL-S 200 MG/40 ML IV INF. ICIN KONSANTRE COZ. ICEREN FLAKON;L01XA03;oxaliplatin;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
5571;PLOXAL-S 50 MG 5 MG/10 ML 1 IV INF. ICIN KON.COZ. ICEREN FLAKON;L01XA03;oxaliplatin;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
5572;PLUSMED ACCURO 50 STRIP;V07AY;Other non-therapeutic auxiliary products;NULL;Normal
5573;PLUSMED SEKER OLCUM CIHAZI ACCURO;V07AY;Other non-therapeutic auxiliary products;NULL;Normal
5574;PNEUMOVAX 23 0,5 ML ENJEKSIYONLUK COZELTI ICEREN 1 FLAKON;J07AL01;pneumococcus, purified polysaccharides antigen;MERCK SHARP DOHME ILAÇLARI LTD. STI.;Normal
5575;PNEUMOVAX 23 0,5 ML ENJEKSIYONLUK COZELTI ICEREN KULLANIMA HAZIR ENJEKTOR (1 ENJEKTOR);J07AL01;pneumococcus, purified polysaccharides antigen;MERCK SHARP DOHME ILAÇLARI LTD. STI.;Normal
5576;"PODORA 200 MG FILM KAPLI TABLET (10 TABLET) ";J01DD13;cefpodoxime;GENVEON ILAÇ SANAYI VE TICARET A.S.;Normal
5577;PODORA 200 MG FILM KAPLI TABLET (14 ADET);J01DD13;cefpodoxime;GENVEON ILAÇ SANAYI VE TICARET A.S.;Normal
5578;PODORA 200 MG FILM KAPLI TABLET (20 ADET);J01DD13;cefpodoxime;GENVEON ILAÇ SANAYI VE TICARET A.S.;Normal
5579;POLGYL %0,5 IV PERFUZYON SOL 100 ML SETLI;J01XD01;metronidazole;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5580;POLGYL %0,5 IV PERFUZYON SOL 100 ML SETSIZ;J01XD01;metronidazole;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5581;POLIBAR SUSP.ICIN TOZ 397 GR;V08BA01;barium sulfate with suspending agents;OPAKIM TIBBI ÜRÜNLER SANAYI VE TICARET A.S.;Normal
5582;POLIFLEKS % 3 SODYUM KLORUR SOL. 100 ML(PVC TORBA) SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5583;POLIFLEKS % 3 SODYUM KLORUR SOL. 100 ML(PVC TORBA) SETSIZ;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5584;POLIFLEKS % 3 SODYUM KLORUR SOL. 150 ML(PVC TORBA) SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5585;POLIFLEKS % 3 SODYUM KLORUR SOL. 150 ML(PVC TORBA) SETSIZ;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5586;POLIFLEKS % 3 SODYUM KLORUR SOL. 250 ML(PVC TORBA) SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5587;POLIFLEKS % 3 SODYUM KLORUR SOL. 250 ML(PVC TORBA) SETSIZ;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5588;POLIFLEKS % 3 SODYUM KLORUR SOL. 500 ML(PVC TORBA) SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5589;POLIFLEKS % 3 SODYUM KLORUR SOL. 500 ML(PVC TORBA) SETSIZ;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5590;POLIFLEKS % 3 SODYUM KLORUR SOL.1000 ML(PVC TORBA) SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5591;POLIFLEKS % 3 SODYUM KLORUR SOL.1000 ML(PVC TORBA) SETSIZ;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5592;POLIFLEKS % 5 DEKSTROZ LAKTATLI RINGER IV INFUZYON ICIN COZELTI 100 ML TORBA SETLI;B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5593;POLIFLEKS % 5 DEKSTROZ LAKTATLI RINGER IV INFUZYON ICIN COZELTI 1000 ML TORBA SETLI;B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5594;POLIFLEKS % 5 DEKSTROZ LAKTATLI RINGER IV INFUZYON ICIN COZELTI 150 ML TORBA SETLI;B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5595;POLIFLEKS % 5 DEKSTROZ LAKTATLI RINGER IV INFUZYON ICIN COZELTI 250 ML TORBA SETLI;B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5596;POLIFLEKS % 5 DEKSTROZ LAKTATLI RINGER IV INFUZYON ICIN COZELTI 250 ML TORBA SETSIZ;B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5597;POLIFLEKS % 5 DEKSTROZ LAKTATLI RINGER IV INFUZYON ICIN COZELTI 500 ML TORBA SETLI;B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5598;POLIFLEKS %0,45 SODYUM KLORUR IV INFUZYON ICIN COZELTI 1000 ML (SETLI);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5599;POLIFLEKS %0,45 SODYUM KLORUR IV INFUZYON ICIN COZELTI 1000 ML (SETSIZ);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5600;POLIFLEKS %0,45 SODYUM KLORUR IV INFUZYON ICIN COZELTI 500 ML (SETSIZ);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5601;POLIFLEKS %0,9 IZOTONIK 100 ML SOL.SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5602;POLIFLEKS %0,9 IZOTONIK 1000 ML SOL. SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5603;POLIFLEKS %0,9 IZOTONIK 150 ML SOL. SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5604;POLIFLEKS %0,9 IZOTONIK 250 ML SOL. SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5605;POLIFLEKS %0,9 IZOTONIK 3000 ML SOL. SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5606;POLIFLEKS %0,9 IZOTONIK 3000 ML SOL. SETSIZ;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5607;POLIFLEKS %0,9 IZOTONIK 500 ML SOL. SETLI;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5608;POLIFLEKS %0,9 IZOTONIK SODYUM KLORUR COZELTISI 50 ML SETLI PVC;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5609;POLIFLEKS %0,9 IZOTONIK SODYUM KLORUR COZELTISI 50 ML SETSIZ PVC;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5610;POLIFLEKS %0.9 IZOTONIK;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5611;POLIFLEKS %0.9 IZOTONIK 100 ML SOLUSYON;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5612;POLIFLEKS %0.9 IZOTONIK 250 ML SOLUSYON;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5613;POLIFLEKS %0.9 IZOTONIK 500 ML SOLUSYON;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5614;POLIFLEKS %0.9 IZOTONIK150 ML SOLUSYON;B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5615;POLIFLEKS %10 DEKSTROZ 100 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5616;POLIFLEKS %10 DEKSTROZ 100 ML SOL. SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5617;POLIFLEKS %10 DEKSTROZ 1000 ML SOL SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5618;POLIFLEKS %10 DEKSTROZ 1000 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5619;POLIFLEKS %10 DEKSTROZ 150 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5620;POLIFLEKS %10 DEKSTROZ 150 ML SOL. SETLSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5621;POLIFLEKS %10 DEKSTROZ 250 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5622;POLIFLEKS %10 DEKSTROZ 250 ML SOL. SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5623;POLIFLEKS %10 DEKSTROZ 500 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5624;POLIFLEKS %10 DEKSTROZ 500 ML SOL. SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5625;POLIFLEKS %20 DEKSTROZ 100 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5626;POLIFLEKS %20 DEKSTROZ 100 ML SOL. SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5627;POLIFLEKS %20 DEKSTROZ 1000 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5628;POLIFLEKS %20 DEKSTROZ 1000 ML SOL. SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5629;POLIFLEKS %20 DEKSTROZ 150 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5630;POLIFLEKS %20 DEKSTROZ 150 ML SOL. SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5631;POLIFLEKS %20 DEKSTROZ 250 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5632;POLIFLEKS %20 DEKSTROZ 250 ML SOL. SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5633;POLIFLEKS %20 DEKSTROZ 500 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5634;POLIFLEKS %20 DEKSTROZ 500 ML SOL. SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5635;POLIFLEKS %20 MANNITOL SUDAKI SOLUSYONU 100 ML PVC SETLI;B05BC01;mannitol;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5636;POLIFLEKS %20 MANNITOL SUDAKI SOLUSYONU 100 ML PVC SETSIZ;B05BC01;mannitol;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
5637;POLIFLEKS %20 MANNITOL SUDAKI SOLUSYONU 1000 ML PVC SETLI;B05BC01;mannitol;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
